Date,Ticker,Close,Return,Volume,RVOL,Dollar_Vol,Market_Cap_Current
2018-11-20,A,64.02349853515625,0.07842242215073596,8187200,2.695982468474372,524173187.20703125,36972765184
2022-11-22,A,153.19186401367188,0.08074944698095035,3512500,2.738001512234287,538086422.3480225,36972765184
2023-11-21,A,121.87716674804688,0.08720820983322543,6085800,2.8448952879581153,741720061.3952637,36972765184
2021-03-03,AA,29.4481201171875,0.12109088860089029,17570200,2.7602946270699027,517409360.0830078,14698798080
2021-04-16,AA,34.03297424316406,0.08495751428062921,17790300,2.8534995681327695,605456821.6781616,14698798080
2021-10-15,AA,53.48993682861328,0.1522631979615342,33374900,4.592381096533172,1785221292.6612854,14698798080
2023-12-14,AA,29.177703857421875,0.1504424845313725,16594000,3.41598125059827,484174817.8100586,14698798080
2025-10-23,AA,40.03209686279297,0.1259466421295768,20278200,2.7349788721661525,811778866.6030884,14698798080
2020-03-16,AAL,15.920000076293945,0.11250870785930912,84916800,2.606352840792248,1351875462.4786377,9260722176
2020-06-04,AAL,16.719999313354492,0.4109703607689464,399432600,6.39886592001702,6678512797.7314,9260722176
2020-06-05,AAL,18.59000015258789,0.1118421600496002,428617100,5.429348231228565,7967991954.401779,9260722176
2020-11-09,AAL,13.199999809265137,0.15183244025534173,231326200,4.380092961819307,3053505795.878029,9260722176
2021-01-28,AAL,18.100000381469727,0.09299522736667593,319607600,5.460891905103711,5784897681.920624,9260722176
2023-01-12,AAL,16.829999923706055,0.0971316659906811,96441800,3.6056318439692316,1623115486.6420746,9260722176
2024-12-05,AAL,17.3799991607666,0.16801068730499907,110116900,4.907122122688636,1913831629.5862198,9260722176
2025-07-10,AAL,12.9399995803833,0.1271777087425355,148906600,2.771650418609551,1926851341.516304,9260722176
2020-06-15,AAMI,10.498088836669922,0.16228067952603464,4094100,10.141567272321927,42980225.50621033,1705094656
2020-06-26,AAMI,11.765783309936523,0.1797417448654539,8466300,5.641097396431962,99612651.23691559,1705094656
2021-04-08,AAMI,22.372806549072266,0.10701983704910328,2028600,4.197870645324835,45385475.365448,1705094656
2021-10-28,AAMI,28.646812438964844,0.07810167656834853,2604000,5.971518334212397,74596299.59106445,1705094656
2015-02-26,AAOI,11.819999694824219,0.12464314342662525,1558200,8.600761715515814,18417923.524475098,2584735232
2015-05-26,AAOI,19.18000030517578,0.15056989906384308,1411700,5.656982568623523,27076406.43081665,2584735232
2015-07-13,AAOI,19.959999084472656,0.18036660346435876,1830200,5.9247029879252855,36530790.324401855,2584735232
2015-08-06,AAOI,20.950000762939453,0.10263161910207648,1646300,4.637072923414923,34489986.25602722,2584735232
2016-08-05,AAOI,14.789999961853027,0.1536661711329175,1520100,6.151884902567838,22482278.942012787,2584735232
2016-08-25,AAOI,16.110000610351562,0.16066285861125645,1753100,5.0075694821331656,28242442.070007324,2584735232
2016-09-07,AAOI,19.850000381469727,0.14014937136374003,1721200,4.296287051482059,34165820.65658569,2584735232
2017-01-12,AAOI,29.860000610351562,0.31426062996402815,4415900,17.696160936122464,131858776.69525146,2584735232
2017-01-17,AAOI,30.440000534057617,0.0786676567937604,1412500,2.710404114057643,42996500.754356384,2584735232
2017-02-24,AAOI,45.97999954223633,0.22711497315968096,6549800,11.53997269083381,301159801.0017395,2584735232
2017-04-13,AAOI,45.29999923706055,0.10975011209528183,13208400,6.067304247168095,598340509.9227905,2584735232
2017-05-05,AAOI,55.959999084472656,0.19547099856319322,10854900,3.376161684021946,607440194.0620422,2584735232
2017-09-18,AAOI,66.29000091552734,0.13704977329378176,6230900,2.957715056060304,413046366.7045593,2584735232
2017-11-08,AAOI,43.63999938964844,0.15175508294072187,7672500,3.0275050162473143,334827895.31707764,2584735232
2018-04-11,AAOI,29.1200008392334,0.14510422688853014,3359400,3.212892119357307,97825730.81932068,2584735232
2018-05-30,AAOI,40.619998931884766,0.13717798274714582,3521200,3.334169747986687,143031140.23895264,2584735232
2018-05-31,AAOI,46.77000045776367,0.1514032911766388,4887600,4.295488401320039,228593054.23736572,2584735232
2018-08-08,AAOI,40.91999816894531,0.0991135823819388,5947100,4.490902431933427,243355321.11053467,2584735232
2018-11-08,AAOI,21.700000762939453,0.11971113016710166,4030200,3.766366057660857,87455343.07479858,2584735232
2019-06-27,AAOI,10.5600004196167,0.11275033448946667,2291100,4.914045492080175,24194016.96138382,2584735232
2019-07-09,AAOI,10.850000381469727,0.1313868830900718,2767700,4.614833094340881,30029546.055793762,2584735232
2019-11-04,AAOI,10.600000381469727,0.10762807936165006,1131600,2.5390984360625577,11994960.431671143,2584735232
2020-01-15,AAOI,15.600000381469727,0.12554118094470595,2104000,3.468141395992846,32822400.802612305,2584735232
2020-05-07,AAOI,12.199999809265137,0.13172542778000274,1642500,2.6425870806853835,20038499.686717987,2584735232
2020-06-30,AAOI,10.869999885559082,0.15515409796191384,1792800,2.8747815210942385,19487735.794830322,2584735232
2020-07-21,AAOI,13.925000190734863,0.1589679394785517,3150700,3.934784509135414,43873498.100948334,2584735232
2020-08-03,AAOI,16.059999465942383,0.1301899664200603,3122400,2.919222139117427,50145742.332458496,2584735232
2020-11-05,AAOI,10.020000457763672,0.10474099172038226,1102500,2.5082756031805618,11047050.504684448,2584735232
2021-01-27,AAOI,12.170000076293945,0.0924595782071557,3545900,4.204541412225055,43153603.2705307,2584735232
2023-06-30,AAOI,5.960000038146973,0.09760593491040861,7148900,3.1764136104717813,42607444.27270889,2584735232
2023-08-04,AAOI,11.010000228881836,0.670713197868169,31770800,8.002740561059348,349796515.27175903,2584735232
2023-08-07,AAOI,12.380000114440918,0.12443232126056167,16940800,3.2141979636152516,209727105.9387207,2584735232
2023-11-14,AAOI,12.279999732971191,0.11636361208829013,5085000,3.4107830379780797,62443798.64215851,2584735232
2023-11-20,AAOI,14.460000038146973,0.13411765005074294,4643700,2.5178522048896337,67147902.1771431,2584735232
2024-09-03,AAOI,12.260000228881836,0.0801761953151822,6185000,2.8476845585052994,75828101.41563416,2584735232
2024-11-07,AAOI,17.899999618530273,0.10425667054333435,7538000,2.987594625658912,134930197.1244812,2584735232
2024-11-08,AAOI,27.760000228881836,0.5508380346636647,19430500,6.8722390614665825,539390684.4472885,2584735232
2025-03-14,AAOI,22.110000610351562,0.3931947555003182,17009500,3.2294628320810332,376080055.3817749,2584735232
2025-06-18,AAOI,19.770000457763672,0.17818829849618412,10371100,2.6435510059467218,205036651.74751282,2584735232
2025-06-20,AAOI,23.450000762939453,0.1861406282229319,13947100,3.215217712041016,327059505.64079285,2584735232
2026-01-28,AAOI,45.22999954223633,0.20968174058752256,11717700,2.807105382938457,529991565.6360626,2584735232
2018-02-27,AAON,24.576963424682617,0.08111931119311193,1276350,5.587916598259728,31368807.26709366,7516047360
2022-11-08,AAON,49.03009033203125,0.1403507962527695,1039200,5.0700720845987775,50952069.873046875,7516047360
2023-02-28,AAON,59.845184326171875,0.1162104874602154,1987800,6.174634237256546,118960257.40356445,7516047360
2025-03-05,AAON,81.56754302978516,0.08890366849369064,2574300,2.651061485307066,209979326.02157593,7516047360
2015-08-13,AAP,164.31668090820312,0.09180231069164817,3745800,4.658404790478737,615497423.3459473,3162272000
2015-09-30,AAP,165.89552307128906,0.11141757421476398,4119700,5.781020873530959,683439786.3967896,3162272000
2016-11-15,AAP,144.0659942626953,0.14996551872816602,7352900,5.66341758356023,1059302849.2141724,3162272000
2017-11-14,AAP,84.07251739501953,0.1633447708909619,10153800,5.067208962858533,853655527.1255493,3162272000
2018-02-21,AAP,100.18909454345703,0.08210706889804673,5545200,4.073728520948274,555568567.0623779,3162272000
2018-08-14,AAP,137.3458709716797,0.07794823713809987,4487600,6.156083240736931,616353330.5725098,3162272000
2018-11-13,AAP,162.55368041992188,0.10571082468839238,3662700,2.7596677277778823,595385365.2740479,3162272000
2025-05-22,AAP,48.433082580566406,0.570424746390366,27499800,13.190048395838629,1331900084.34906,3162272000
2020-07-31,AAPL,103.07506561279297,0.10468874694192604,374336800,2.9531038306424575,38584790221.28296,4044574949376
2025-04-09,AAPL,198.17234802246094,0.1532884121688522,184395900,2.814449405369475,36542168468.714905,4044574949376
2020-11-09,AAT,19.26276206970215,0.1989499489517297,1211700,4.163488300175239,23340688.799858093,1482418816
2018-01-26,ABBV,87.44155883789062,0.13767303491743013,19614500,4.218766299338939,1715122455.8258057,385679556608
2024-11-06,ABCB,70.0710220336914,0.136966515541119,1087000,3.164068753729497,76167200.95062256,5723442688
2018-06-07,ABM,27.498109817504883,0.10965555173789679,2746900,3.2233611246384295,75534557.85770416,2866970880
2018-12-19,ABM,26.601980209350586,0.13747216283572808,3126900,5.764189724777407,83181731.91661835,2866970880
2020-06-18,ABM,34.84529113769531,0.19981558442923117,2574500,5.647567235554775,89709202.03399658,2866970880
2023-12-13,ABM,49.88302230834961,0.17899018338786404,2600300,6.843074817758362,129710822.90840149,2866970880
2021-01-21,ABNB,180.39999389648438,0.11474999601628974,17618400,2.59321214387011,3178359252.4658203,74460102656
2021-02-26,ABNB,206.35000610351562,0.13341760337607628,19368600,4.267104350029191,3996710728.2165527,74460102656
2021-08-24,ABNB,161.4199981689453,0.09966622761740115,22096800,3.7329679788288104,3566865415.539551,74460102656
2021-11-05,ABNB,201.6199951171875,0.12984028335772715,27330500,7.931344197499336,5510375276.550293,74460102656
2022-05-04,ABNB,156.17999267578125,0.07710339776400862,20598100,4.143465644785742,3217011107.13501,74460102656
2022-06-24,ABNB,103.51000213623047,0.08138320952969709,28797400,4.111062969897307,2980818935.5178833,74460102656
2023-02-15,ABNB,137.00999450683594,0.13353182256554813,32481900,5.519223547762789,4450344940.571594,74460102656
2025-02-14,ABNB,161.4199981689453,0.1444980562461235,21649300,4.62425387440633,3494629966.3589478,74460102656
2020-11-02,ABR,7.2675323486328125,0.0795261936564506,2758500,2.5023358763391603,20047487.983703613,1627272192
2023-07-28,ABR,13.008857727050781,0.09102188062276209,10584700,3.1932603252179685,137694856.3835144,1627272192
2024-05-14,ABR,12.203778266906738,0.10541737562532119,19817700,4.334788638123444,241850816.56007767,1627272192
2020-08-27,ABT,100.83052825927734,0.07849606288674633,36319000,10.56772535960207,3662063955.848694,189257515008
2025-05-15,ABTC,5.349999904632568,0.4247669085435248,30069560,7.727643730622785,160872143.1323433,1080659840
2025-07-02,ABTC,5.849999904632568,0.29855710455593815,17816220,15.881361915153072,104224885.30091286,1080659840
2025-08-28,ABTC,8.600000381469727,0.4214876215442115,9830800,9.684095635222022,84544883.75015259,1080659840
2025-09-03,ABTC,8.039999961853027,0.16521736967090428,30592600,16.621209882123857,245964502.83298492,1080659840
2025-09-05,ABTC,7.400000095367432,0.1544462202062317,11995100,2.866351701169734,88763741.14394188,1080659840
2025-09-08,ABTC,8.34000015258789,0.12702703312246177,12801700,2.705196224301143,106766179.9533844,1080659840
